,County,Number Hostpitalized Total,Number in ICU,Deaths,Tested Positive,Tested Total,Source
4/7/2020,Los Angeles County,,0,,,,https://knx1070.radio.com/articles/la-county-dept-of-health-announces-new-coronavirus-cases
4/7/2020,Orange County,,,,,,
4/6/2020,Los Angeles County,,,,,,https://calmatters.org/health/coronavirus/2020/04/california-coronavirus-covid-patient-hospitalization-data-icu/
4/6/2020,Orange County,129,75,,,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
4/5/2020,Orange County,130,72,,,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
4/4/2020,Orange County,149,63,,,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
4/3/2020,Orange County,112,71,,,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
4/2/2020,Orange County,103,44,,,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
4/1/2020,Orange County,115,115,,,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
3/31/2020,Orange County,67,31,,,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
3/30/2020,Orange County,94,46,,,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
3/29/2020,Orange County,,,,,,
3/28/2020,Orange County,,,,,,
3/27/2020,Orange County,50,31,,,,https://occovid19.ochealthinfo.com/coronavirus-in-oc
4/6/2020,Los Angeles County,2236,661,145,6346,,https://public.tableau.com/views/COVID-19PublicDashboard/Covid-19Hospitals?:embed=y&:display_count=no&:showVizHome=no
4/5/2020,Los Angeles County,2176,639,130,5892,,https://data.chhs.ca.gov/dataset/california-covid-19-hospital-data-and-case-statistics
4/4/2020,Los Angeles County,2197,630,117,5275,,https://data.chhs.ca.gov/dataset/california-covid-19-hospital-data-and-case-statistics
4/3/2020,Los Angeles County,2201,631,91,4566,,https://data.chhs.ca.gov/dataset/california-covid-19-hospital-data-and-case-statistics
4/2/2020,Los Angeles County,2088,539,79,4040,,https://data.chhs.ca.gov/dataset/california-covid-19-hospital-data-and-case-statistics
4/1/2020,Los Angeles County,2071,555,66,3502,,https://data.chhs.ca.gov/dataset/california-covid-19-hospital-data-and-case-statistics
3/31/2020,Los Angeles County,,,,,,
3/30/2020,Los Angeles County,,,,,,
3/29/2020,Los Angeles County,,,,,,
3/28/2020,Los Angeles County,,,,,,
3/27/2020,Los Angeles County,,,,,,
